"id","source","institution","setting","type","label","from","to","subject","attachment","body","text"
"synth_11","Synthetic (LLM-generated for this project)","fictional","university","Payroll diversion (self-service lookalike)","1","HR Self-Service <hr@avonside-selfservice.com>","staff","Update to your salary payment method","","Dear employee,

You have a pending change request on your salary payment method. If you did not make this request, please cancel it immediately using the link below.

Review request: http://avonside-selfservice.com/payroll/cancel

Requests not cancelled within 24 hours will be applied to the next payroll cycle.

HR Self-Service","Update to your salary payment method Dear employee,

You have a pending change request on your salary payment method. If you did not make this request, please cancel it immediately using the link below.

Review request: http://avonside-selfservice.com/payroll/cancel

Requests not cancelled within 24 hours will be applied to the next payroll cycle.

HR Self-Service"
"synth_12","Synthetic (LLM-generated for this project)","fictional","secondary school","HR benefits document lure","1","HR Department <hr@severnvale-trust-hr.com>","staff","Your 2026 benefits statement is ready","Benefits_Statement_2026.htm","Dear colleague,

Your personal benefits statement for 2026 is attached. It summarises your salary, pension contributions and annual leave entitlement. Please open the attachment and sign in to view.

The statement is password protected using your normal network password.

HR Department
Severn Vale Academy Trust","Your 2026 benefits statement is ready Dear colleague,

Your personal benefits statement for 2026 is attached. It summarises your salary, pension contributions and annual leave entitlement. Please open the attachment and sign in to view.

The statement is password protected using your normal network password.

HR Department
Severn Vale Academy Trust"
"synth_13","Synthetic (LLM-generated for this project)","fictional","university","Pension impersonation","1","Teachers' Pension Service <notifications@pension-service-uk.org>","staff","Your pension record has been suspended","","Dear member,

We were unable to match your National Insurance number to your employer's most recent contribution return. Your record has been suspended until this is resolved.

To reinstate your record, verify your identity here: http://pension-service-uk.org/verify

If you do not respond within 7 days, contributions for this period may be lost.","Your pension record has been suspended Dear member,

We were unable to match your National Insurance number to your employer's most recent contribution return. Your record has been suspended until this is resolved.

To reinstate your record, verify your identity here: http://pension-service-uk.org/verify

If you do not respond within 7 days, contributions for this period may be lost."
"synth_14","Synthetic (LLM-generated for this project)","fictional","secondary school","Exam board impersonation","1","Exam Board Secure Portal <results@examboard-secure.com>","exams officer","Early access: summer results embargo lifted","","Dear Exams Officer,

Following a change to the release schedule, centres may now access provisional results 48 hours ahead of results day. Access is granted to registered exams officers only.

Access results: http://examboard-secure.com/centre-login

Please do not forward this message. Access will be logged.","Early access: summer results embargo lifted Dear Exams Officer,

Following a change to the release schedule, centres may now access provisional results 48 hours ahead of results day. Access is granted to registered exams officers only.

Access results: http://examboard-secure.com/centre-login

Please do not forward this message. Access will be logged."
"synth_15","Synthetic (LLM-generated for this project)","fictional","secondary school","Department for Education impersonation, attachment","1","DfE Funding <funding@educationgov-uk.com>","headteacher","Pupil Premium allocation 2026/27 – confirmation required","PP_Allocation_Confirmation.zip","Dear Headteacher,

Your school's Pupil Premium allocation for 2026/27 has been calculated. To release the first payment, the attached confirmation form must be completed and returned within 5 working days.

Schools that do not return the form will have their payment deferred to the next quarter.

ESFA Funding Team","Pupil Premium allocation 2026/27 – confirmation required Dear Headteacher,

Your school's Pupil Premium allocation for 2026/27 has been calculated. To release the first payment, the attached confirmation form must be completed and returned within 5 working days.

Schools that do not return the form will have their payment deferred to the next quarter.

ESFA Funding Team"
"synth_16","Synthetic (LLM-generated for this project)","fictional","secondary school","Inspection impersonation","1","Inspection Notifications <notice@inspection-portal-uk.com>","headteacher","Notification of inspection – confidential","","Dear Headteacher,

This is formal notice that your school has been selected for inspection. The inspection date and lead inspector details are available on the secure portal. You are required to acknowledge receipt within 24 hours.

Acknowledge: http://inspection-portal-uk.com/notice

This message is confidential and must not be shared with staff until the inspection is announced.","Notification of inspection – confidential Dear Headteacher,

This is formal notice that your school has been selected for inspection. The inspection date and lead inspector details are available on the secure portal. You are required to acknowledge receipt within 24 hours.

Acknowledge: http://inspection-portal-uk.com/notice

This message is confidential and must not be shared with staff until the inspection is announced."
"synth_17","Synthetic (LLM-generated for this project)","fictional","university","Student: tuition fee refund","1","Student Finance Office <refunds@westmoor-refunds.com>","student","You are due a tuition fee refund of £412.50","","Dear student,

An overpayment of £412.50 has been identified on your tuition fee account for the last academic year. To receive your refund, confirm your bank details on the refund portal.

Claim refund: http://westmoor-refunds.com/claim

Refunds not claimed within 14 days will be returned to the funding body.","You are due a tuition fee refund of £412.50 Dear student,

An overpayment of £412.50 has been identified on your tuition fee account for the last academic year. To receive your refund, confirm your bank details on the refund portal.

Claim refund: http://westmoor-refunds.com/claim

Refunds not claimed within 14 days will be returned to the funding body."
"synth_18","Synthetic (LLM-generated for this project)","fictional","university","Student: bursary application","1","Bursaries Team <bursaries@avonside-studentsupport.org>","student","Hardship bursary – you have been pre-approved","","Good news!

You have been pre-approved for a £1,500 hardship bursary under the university's cost of living scheme. To accept, you need to verify your student ID and provide the account for payment.

Accept bursary: http://avonside-studentsupport.org/accept

Offers expire 72 hours after this email is sent.","Hardship bursary – you have been pre-approved Good news!

You have been pre-approved for a £1,500 hardship bursary under the university's cost of living scheme. To accept, you need to verify your student ID and provide the account for payment.

Accept bursary: http://avonside-studentsupport.org/accept

Offers expire 72 hours after this email is sent."
"synth_19","Synthetic (LLM-generated for this project)","fictional","university","Student: library fine","1","Library Services <library@westmoor-library-fines.com>","student","Overdue items – account block pending","","Your library account has outstanding charges of £27.40 for overdue items. Accounts with unpaid charges are blocked from borrowing and from graduation.

Pay now: http://westmoor-library-fines.com/pay

Please pay within 3 days to avoid the block being applied.","Overdue items – account block pending Your library account has outstanding charges of £27.40 for overdue items. Accounts with unpaid charges are blocked from borrowing and from graduation.

Pay now: http://westmoor-library-fines.com/pay

Please pay within 3 days to avoid the block being applied."
"synth_20","Synthetic (LLM-generated for this project)","fictional","university","Student: fake job offer","1","Careers Placement Office <placements@avonside-careers.com>","student","Paid remote research assistant role – apply today","","Hi,

A member of academic staff is looking for a part-time remote research assistant (£19/hour, 10 hours a week, flexible). No experience needed. Only a few places are available and priority goes to the first applicants.

To apply, complete the short form and upload a copy of your student ID: http://avonside-careers.com/apply

Careers Placement Office","Paid remote research assistant role – apply today Hi,

A member of academic staff is looking for a part-time remote research assistant (£19/hour, 10 hours a week, flexible). No experience needed. Only a few places are available and priority goes to the first applicants.

To apply, complete the short form and upload a copy of your student ID: http://avonside-careers.com/apply

Careers Placement Office"
"synth_21","Synthetic (LLM-generated for this project)","fictional","university","Student: MFA reset","1","Security Operations <mfa@westmoor-security.com>","student","Multi-factor authentication reset required","","We detected a sign-in to your account from an unrecognised device in another country. As a precaution, your multi-factor authentication has been disabled.

Re-enrol your device here within 24 hours or your account will be locked: http://westmoor-security.com/mfa

Security Operations Centre","Multi-factor authentication reset required We detected a sign-in to your account from an unrecognised device in another country. As a precaution, your multi-factor authentication has been disabled.

Re-enrol your device here within 24 hours or your account will be locked: http://westmoor-security.com/mfa

Security Operations Centre"
"synth_22","Synthetic (LLM-generated for this project)","fictional","university","Student: timetable change","1","Timetabling <timetable@avonside-timetable.com>","student","Your timetable has changed – log in to confirm","","Dear student,

Changes have been made to your timetable for next week. You must confirm you have seen them, otherwise your attendance may be recorded as unauthorised.

Confirm here: http://avonside-timetable.com/confirm

Timetabling Office","Your timetable has changed – log in to confirm Dear student,

Changes have been made to your timetable for next week. You must confirm you have seen them, otherwise your attendance may be recorded as unauthorised.

Confirm here: http://avonside-timetable.com/confirm

Timetabling Office"
"synth_23","Synthetic (LLM-generated for this project)","fictional","university","Student: accommodation deposit","1","Accommodation Office <deposits@westmoor-halls.com>","student","Deposit refund – bank details needed","","Hi,

Your accommodation deposit of £250 is ready to be refunded. We do not hold current bank details for you. Please add them here so we can release the payment this week: http://westmoor-halls.com/deposit

Accommodation Office","Deposit refund – bank details needed Hi,

Your accommodation deposit of £250 is ready to be refunded. We do not hold current bank details for you. Please add them here so we can release the payment this week: http://westmoor-halls.com/deposit

Accommodation Office"
"synth_24","Synthetic (LLM-generated for this project)","fictional","secondary school","Parent: ParentPay overdue","1","ParentPay Alerts <alerts@parent-pay-notifications.com>","parent","Overdue balance – school meals suspended","","Dear Parent/Carer,

Your child's school meal account is £18.60 overdue. To avoid meals being withheld from tomorrow, please clear the balance now.

Pay balance: http://parent-pay-notifications.com/pay

ParentPay","Overdue balance – school meals suspended Dear Parent/Carer,

Your child's school meal account is £18.60 overdue. To avoid meals being withheld from tomorrow, please clear the balance now.

Pay balance: http://parent-pay-notifications.com/pay

ParentPay"
"synth_25","Synthetic (LLM-generated for this project)","fictional","secondary school","Parent: school fees to new account","1","Bursar's Office <bursar@kingsmead-college-fees.com>","parent","Autumn term fees – change of bank account","Fee_Invoice_Autumn.pdf","Dear Parent,

Please note that from this term, fee payments should be made to our new bank account, details of which are on the attached invoice. Payments made to the previous account after 1 September cannot be traced and may result in late payment charges.

A 5% discount is available for payment in full within 7 days.

Bursar's Office
Kingsmead College","Autumn term fees – change of bank account Dear Parent,

Please note that from this term, fee payments should be made to our new bank account, details of which are on the attached invoice. Payments made to the previous account after 1 September cannot be traced and may result in late payment charges.

A 5% discount is available for payment in full within 7 days.

Bursar's Office
Kingsmead College"
"synth_26","Synthetic (LLM-generated for this project)","fictional","secondary school","Parent: safeguarding concern lure","1","Safeguarding Team <dsl@brookmere-safeguarding.com>","parent","Concern raised about your child – please read","","Dear Parent,

A safeguarding concern has been logged regarding your child. Due to the sensitive nature of the matter we cannot provide details by email. Please sign in to the parent portal to read the report and confirm you have received it.

http://brookmere-safeguarding.com/portal

Designated Safeguarding Lead","Concern raised about your child – please read Dear Parent,

A safeguarding concern has been logged regarding your child. Due to the sensitive nature of the matter we cannot provide details by email. Please sign in to the parent portal to read the report and confirm you have received it.

http://brookmere-safeguarding.com/portal

Designated Safeguarding Lead"
"synth_27","Synthetic (LLM-generated for this project)","fictional","secondary school","Parent: photo consent lure","1","School Photos <orders@school-photos-online.org>","parent","Your child's school photo is ready to view","","Your child's autumn school photograph is now available. View and order online before Friday to receive free delivery.

View photo: http://school-photos-online.org/view?ref=B2917

You will need to create an account using your email password to view the proof.","Your child's school photo is ready to view Your child's autumn school photograph is now available. View and order online before Friday to receive free delivery.

View photo: http://school-photos-online.org/view?ref=B2917

You will need to create an account using your email password to view the proof."
"synth_28","Synthetic (LLM-generated for this project)","fictional","secondary school","Supplier: invoice with new bank details","1","Accounts <accounts@westcountry-sports-supplies.com>","finance officer","Invoice 4471 – payment details updated","Invoice_4471.pdf","Hi,

Please find attached invoice 4471 for the PE equipment delivered last month. Note we have moved to a new bank; please use the details on this invoice and disregard any previous remittance details.

Could you confirm the expected payment date?

Regards
Carol
Accounts, Westcountry Sports Supplies","Invoice 4471 – payment details updated Hi,

Please find attached invoice 4471 for the PE equipment delivered last month. Note we have moved to a new bank; please use the details on this invoice and disregard any previous remittance details.

Could you confirm the expected payment date?

Regards
Carol
Accounts, Westcountry Sports Supplies"
"synth_29","Synthetic (LLM-generated for this project)","fictional","university","Supplier: purchase order attachment","1","Procurement <orders@labchem-direct.co>","lab manager","PO 88213 – confirmation attached","PO_88213_confirmation.docm","Dear customer,

Thank you for your order. Please open the attached confirmation and enable editing to view the delivery schedule.

Kind regards,
Order Processing
LabChem Direct","PO 88213 – confirmation attached Dear customer,

Thank you for your order. Please open the attached confirmation and enable editing to view the delivery schedule.

Kind regards,
Order Processing
LabChem Direct"
"synth_30","Synthetic (LLM-generated for this project)","fictional","secondary school","Recruitment: CV attachment","1","Rachel Moore <rachel.moore.applications@outlook.com>","headteacher","Application: Teacher of Mathematics","Rachel_Moore_CV.docm","Dear Headteacher,

Please find attached my CV and covering letter for the Teacher of Mathematics vacancy advertised on your website. I would be grateful if you could confirm receipt.

Kind regards,
Rachel Moore","Application: Teacher of Mathematics Dear Headteacher,

Please find attached my CV and covering letter for the Teacher of Mathematics vacancy advertised on your website. I would be grateful if you could confirm receipt.

Kind regards,
Rachel Moore"
"synth_31","Synthetic (LLM-generated for this project)","fictional","secondary school","Software licence expiry","1","Adobe Licensing <licensing@adobe-education-renewals.com>","IT technician","Your Creative Cloud education licence expires today","","Your institution's Adobe Creative Cloud licence expires at midnight. To avoid disruption to lessons, renew now using your administrator credentials.

Renew: http://adobe-education-renewals.com/renew

Adobe Education Licensing","Your Creative Cloud education licence expires today Your institution's Adobe Creative Cloud licence expires at midnight. To avoid disruption to lessons, renew now using your administrator credentials.

Renew: http://adobe-education-renewals.com/renew

Adobe Education Licensing"
"synth_32","Synthetic (LLM-generated for this project)","fictional","university","Zoom recording lure","1","Zoom <no-reply@zoom-recordings-cloud.com>","staff","Cloud recording available: Faculty Board 03/09","","Your cloud recording is now available.

Topic: Faculty Board 03/09
Duration: 1h 12m

View recording: http://zoom-recordings-cloud.com/rec/9a71

Recordings are deleted after 7 days.","Cloud recording available: Faculty Board 03/09 Your cloud recording is now available.

Topic: Faculty Board 03/09
Duration: 1h 12m

View recording: http://zoom-recordings-cloud.com/rec/9a71

Recordings are deleted after 7 days."
"synth_33","Synthetic (LLM-generated for this project)","fictional","secondary school","WhatsApp move: head impersonation","1","Mr A Cole <acole.head@icloud.com>","staff","New number","","Hi, this is Andrew. I've changed my mobile number, please save this one: 07700 900 456. Can you message me on WhatsApp when you get this, I need to ask you something about tomorrow. Don't reply to this email as I'm not at my desk.","New number Hi, this is Andrew. I've changed my mobile number, please save this one: 07700 900 456. Can you message me on WhatsApp when you get this, I need to ask you something about tomorrow. Don't reply to this email as I'm not at my desk."
"synth_34","Synthetic (LLM-generated for this project)","fictional","university","Survey with prize","1","Student Experience Team <survey@westmoor-student-voice.com>","student","2-minute survey – win a £200 Amazon voucher","","We want to hear from you! Complete our 2-minute survey on campus facilities and be entered into a draw for a £200 Amazon voucher.

Start survey: http://westmoor-student-voice.com/survey

You will need to sign in with your university account so we can enter you into the draw.","2-minute survey – win a £200 Amazon voucher We want to hear from you! Complete our 2-minute survey on campus facilities and be entered into a draw for a £200 Amazon voucher.

Start survey: http://westmoor-student-voice.com/survey

You will need to sign in with your university account so we can enter you into the draw."
"synth_35","Synthetic (LLM-generated for this project)","fictional","university","Conference invitation with fee","1","ICEDS 2027 Secretariat <chair@iceds-conference.org>","academic staff","Invitation: keynote speaker, ICEDS 2027 Prague","","Dear Professor,

On behalf of the organising committee, I am delighted to invite you as a keynote speaker at the International Conference on Education and Data Science 2027 in Prague. Your recent publications were highly rated by our reviewers.

To confirm your participation, please complete registration (€450) via the secure portal: http://iceds-conference.org/register

We look forward to welcoming you.","Invitation: keynote speaker, ICEDS 2027 Prague Dear Professor,

On behalf of the organising committee, I am delighted to invite you as a keynote speaker at the International Conference on Education and Data Science 2027 in Prague. Your recent publications were highly rated by our reviewers.

To confirm your participation, please complete registration (€450) via the secure portal: http://iceds-conference.org/register

We look forward to welcoming you."
"synth_36","Synthetic (LLM-generated for this project)","fictional","university","Journal acceptance with fee","1","Editorial Office <editor@journal-of-educational-computing.org>","academic staff","Manuscript accepted – payment required","","Dear author,

We are pleased to inform you that your manuscript has been accepted for publication. To proceed to typesetting, the article processing charge of £890 must be paid within 5 days.

Pay APC: http://journal-of-educational-computing.org/pay

Editorial Office","Manuscript accepted – payment required Dear author,

We are pleased to inform you that your manuscript has been accepted for publication. To proceed to typesetting, the article processing charge of £890 must be paid within 5 days.

Pay APC: http://journal-of-educational-computing.org/pay

Editorial Office"
"synth_37","Synthetic (LLM-generated for this project)","fictional","secondary school","QR code MFA lure","1","IT Services <it@brookmere-mfa-setup.com>","staff","Complete your MFA enrolment","MFA_Enrolment.pdf","All staff must complete multi-factor authentication enrolment by the end of the week. Open the attached PDF and scan the QR code with your phone to enrol. You will be asked to enter your school email password to link the device.

IT Services","Complete your MFA enrolment All staff must complete multi-factor authentication enrolment by the end of the week. Open the attached PDF and scan the QR code with your phone to enrol. You will be asked to enter your school email password to link the device.

IT Services"
"synth_38","Synthetic (LLM-generated for this project)","fictional","university","Calendar invite lure","1","Vice-Chancellor's Office <vc-office@avonside-calendar.com>","staff","Invitation: All-staff briefing – confidential","invite.ics","You have been invited to a confidential all-staff briefing with the Vice-Chancellor. Accept the attached invitation to receive the joining link. Please do not forward.

Vice-Chancellor's Office","Invitation: All-staff briefing – confidential You have been invited to a confidential all-staff briefing with the Vice-Chancellor. Accept the attached invitation to receive the joining link. Please do not forward.

Vice-Chancellor's Office"
"synth_39","Synthetic (LLM-generated for this project)","fictional","university","Grant notification","1","Research Funding Portal <awards@ukresearch-funding.org>","academic staff","Your grant application has been approved","","Dear applicant,

We are pleased to inform you that your grant application (ref. RF-2026-3391) has been approved for funding of £84,000. To release the award, log in to the funding portal and confirm your institutional bank details.

http://ukresearch-funding.org/award

Awards not confirmed within 10 days will be withdrawn.","Your grant application has been approved Dear applicant,

We are pleased to inform you that your grant application (ref. RF-2026-3391) has been approved for funding of £84,000. To release the award, log in to the funding portal and confirm your institutional bank details.

http://ukresearch-funding.org/award

Awards not confirmed within 10 days will be withdrawn."
"synth_40","Synthetic (LLM-generated for this project)","fictional","secondary school","Cashless catering top-up lure","1","Catering Services <catering@brookmere-topup.com>","parent","Low balance: your child cannot buy lunch tomorrow","","Your child's catering balance is £0.40. Top up now so they can buy lunch tomorrow.

Top up: http://brookmere-topup.com

Catering Services","Low balance: your child cannot buy lunch tomorrow Your child's catering balance is £0.40. Top up now so they can buy lunch tomorrow.

Top up: http://brookmere-topup.com

Catering Services"
"synth_41","Synthetic (LLM-generated for this project)","fictional","secondary school","Term dates and INSET","0","Brookmere High School <office@brookmerehigh.org.uk>","parents and carers","Term dates for 2026/27 and INSET days","","Dear parents and carers,

Please find below the term dates for the coming academic year. INSET days, when the school is closed to pupils, are Monday 1 September, Friday 24 October, Monday 5 January, Friday 27 March and Monday 20 July.

The full calendar is on the school website under 'Parents'.

Kind regards,
School Office","Term dates for 2026/27 and INSET days Dear parents and carers,

Please find below the term dates for the coming academic year. INSET days, when the school is closed to pupils, are Monday 1 September, Friday 24 October, Monday 5 January, Friday 27 March and Monday 20 July.

The full calendar is on the school website under 'Parents'.

Kind regards,
School Office"
"synth_42","Synthetic (LLM-generated for this project)","fictional","secondary school","Trip letter with ParentPay","0","Mr D Patel <d.patel@brookmerehigh.org.uk>","parents of Year 8","Year 8 trip to Bristol Aquarium – 3 October","","Dear parents and carers,

Year 8 will be visiting Bristol Aquarium on Friday 3 October as part of their Science topic on ecosystems. The cost is £14.50, which covers entry and coach travel. Please give consent and pay via ParentPay by 26 September.

Pupils should bring a packed lunch and wear school uniform. If you have any questions, please contact me via the school office.

Kind regards,
Mr D Patel
Head of Science","Year 8 trip to Bristol Aquarium – 3 October Dear parents and carers,

Year 8 will be visiting Bristol Aquarium on Friday 3 October as part of their Science topic on ecosystems. The cost is £14.50, which covers entry and coach travel. Please give consent and pay via ParentPay by 26 September.

Pupils should bring a packed lunch and wear school uniform. If you have any questions, please contact me via the school office.

Kind regards,
Mr D Patel
Head of Science"
"synth_43","Synthetic (LLM-generated for this project)","fictional","secondary school","Parents' evening booking","0","Brookmere High School <office@brookmerehigh.org.uk>","parents of Year 10","Year 10 parents' evening – Thursday 16 October","","Dear parents and carers,

Year 10 parents' evening will take place on Thursday 16 October from 4pm to 7pm. Appointments can be booked through the parents' evening system on the school website from 9am on Monday. Please book early as slots fill quickly.

If you are unable to attend, please contact your child's form tutor to arrange a phone call.

School Office","Year 10 parents' evening – Thursday 16 October Dear parents and carers,

Year 10 parents' evening will take place on Thursday 16 October from 4pm to 7pm. Appointments can be booked through the parents' evening system on the school website from 9am on Monday. Please book early as slots fill quickly.

If you are unable to attend, please contact your child's form tutor to arrange a phone call.

School Office"
"synth_44","Synthetic (LLM-generated for this project)","fictional","secondary school","Mandatory safeguarding training","0","Ms J Okafor <j.okafor@brookmerehigh.org.uk>","all staff","Safeguarding refresher – complete by 30 September","","Dear all,

A reminder that the annual safeguarding refresher must be completed by all staff by Tuesday 30 September. The module is on the staff Moodle under 'Compliance' and takes about 40 minutes. Please sign in to Moodle in the usual way.

If you have any difficulty accessing it, come and see me in the pastoral office.

Thank you,
Jane Okafor
Designated Safeguarding Lead","Safeguarding refresher – complete by 30 September Dear all,

A reminder that the annual safeguarding refresher must be completed by all staff by Tuesday 30 September. The module is on the staff Moodle under 'Compliance' and takes about 40 minutes. Please sign in to Moodle in the usual way.

If you have any difficulty accessing it, come and see me in the pastoral office.

Thank you,
Jane Okafor
Designated Safeguarding Lead"
